"Agency.Id","Agency.Name","Program.Id","Program.Name","Activity.Id","Activity.Name","Subactivity.Id","Subactivity.Name","Fund.Id","Fund.Name","Detailed.Fund.Id","Detailed.Fund.Name","Object.Id","Object.Name","Subobject.Id","Subobject.Name","FY12_Adopted","FY12_AAO","FY12_Adjusted","FY12_BAPS.Actual","FY12_Net.Actual","FY12_Sur.Def","FY13_Adopted","FY13_AAO","FY13_Adjusted","FY13_BAPS.Actual","FY13_Net.Actual","FY13_Sur.Def","FY14_Adopted","FY14_AAO","FY14_Adjusted","FY14_BAPS.Actual","FY14_Net.Actual","FY14_Sur.Def","FY15_Adopted","FY15_AAO","FY15_Adjusted","FY15_BAPS.Actual","FY15_Net.Actual","FY15_Sur.Def","FY16_Adopted","FY16_AAO","FY16_Adjusted","FY16_BAPS.Actual","FY16_Net.Actual","FY16_Sur.Def","FY17_Adopted","FY17_AAO","FY17_Adjusted","FY17_BAPS.Actual","FY17_Net.Actual","FY17_Sur.Def","FY18_Adopted"
7000,"Transportation",195,"Towing",1,"Administration",0,"Default Sub-Activity",1001,"General",1001,"General",3,"Contractual Services",313,"Rental of Real Property",0,0,0,0,0,0,0,0,0,0,-419,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",195,"Towing",1,"Administration",0,"Default Sub-Activity",1001,"General",1001,"General",3,"Contractual Services",326,"Other Professional Services",0,0,0,0,0,0,0,0,0,0,-2200,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",195,"Towing",1,"Administration",0,"Default Sub-Activity",3001,"Motor Vehicle",3001,"Motor Vehicle",3,"Contractual Services",313,"Rental of Real Property",0,0,0,0,0,0,0,0,0,0,419,-419,0,0,0,0,-419,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",195,"Towing",1,"Administration",0,"Default Sub-Activity",3001,"Motor Vehicle",3001,"Motor Vehicle",3,"Contractual Services",326,"Other Professional Services",0,0,0,0,-25000,25000,0,0,0,0,2200,-2200,0,0,0,0,-2200,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",195,"Towing",1,"Administration",0,"Default Sub-Activity",3001,"Motor Vehicle",3001,"Motor Vehicle",3,"Contractual Services",388,"Bank Fees/Armored Truck Services",0,0,0,0,-8090,8090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",230,"Administration",1,"Administration",0,"Default Sub-Activity",6000,"Special",6000,"Unallocated Special Grants",3,"Contractual Services",318,"Consultants",0,0,0,0,-2938,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",230,"Administration",10,"Transportation Planning",0,"Default Sub-Activity",6000,"Special",6000,"Unallocated Special Grants",3,"Contractual Services",301,"Travel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-225,225,0,0,0,0,0,0,0
7000,"Transportation",230,"Administration",10,"Transportation Planning",0,"Default Sub-Activity",6000,"Special",6000,"Unallocated Special Grants",3,"Contractual Services",305,"Municipal Telephone Exchange",0,0,0,378,378,-378,0,0,0,381,381,-381,0,0,0,2,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",230,"Administration",10,"Transportation Planning",0,"Default Sub-Activity",6000,"Special",6000,"Unallocated Special Grants",3,"Contractual Services",310,"Municipal Post Office",0,0,0,0,0,0,0,0,0,193,193,-193,0,0,0,1,1,-1,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
7000,"Transportation",230,"Administration",10,"Transportation Planning",0,"Default Sub-Activity",6000,"Special",6000,"Unallocated Special Grants",3,"Contractual Services",318,"Consultants",0,0,0,79466,5645,-5645,0,0,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-50016,50016,0,0,0,0,0,0,0
